 time[yr],type[tp/pl],particle no.,x[AU],y[AU],z[AU],vx[AU/year],vy[AU/year],vz[AU/year],a,e,inc[degrees]
         0.0000, tp,    40,   -0.000923562,   -0.000414701,    0.000000036,   44.423219851, -184.504272963,    0.021330605,    0.000940525,    0.199386016,    0.006499807
         0.0000, tp,    41,    0.001112862,    0.000061733,   -0.000000081,  -24.219584743,  168.767765402,   -0.005189152,    0.000945108,    0.198691025,    0.004657814
         0.0000, tp,    42,    0.001137531,   -0.000019753,    0.000000058,    6.101775428,  166.742997822,   -0.018224615,    0.000949919,    0.198579192,    0.006953878
         0.0000, tp,    43,   -0.000747354,   -0.000758715,   -0.000000119,  148.067414710, -104.286844236,   -0.003572361,    0.000954983,    0.199109420,    0.006767444
         0.0000, tp,    44,   -0.000542027,    0.000909992,    0.000000086, -170.742623642,  -65.290015016,   -0.012249780,    0.000959871,    0.199191004,    0.006619495
         0.0000, tp,    45,    0.000390844,    0.001082317,    0.000000179, -153.637616555,   63.863418706,   -0.003848396,    0.000964493,    0.198606849,    0.009079276
         0.0000, tp,    46,    0.001131332,    0.000185229,    0.000000093,  -40.198257902,  162.887666673,    0.011007947,    0.000969373,    0.198670641,    0.006220855
         0.0000, tp,    47,   -0.000216902,   -0.001106934,    0.000000080,  163.170879084,  -53.415619122,   -0.001044879,    0.000974290,    0.198826626,    0.004135093
         0.0000, tp,    48,   -0.000497236,   -0.000907042,   -0.000000036,  180.841493125,  -57.624116733,    0.021399489,    0.000979434,    0.199538752,    0.006505343
         0.0000, tp,    49,   -0.000025930,    0.001017846,    0.000000027, -188.680781868,  -42.908882741,    0.016626140,    0.000984360,    0.199708968,    0.005526796
         0.0000, tp,    50,    0.000741877,    0.000899590,    0.000000125, -118.875235593,  116.862540226,    0.023511124,    0.000988799,    0.198691398,    0.009763107
         0.0000, tp,    51,   -0.001003787,   -0.000628761,    0.000000014,   94.167742019, -134.393285234,   -0.005967031,    0.000993621,    0.198613077,    0.002158402
         0.0000, tp,    52,   -0.000113074,   -0.000869140,    0.000000053,  224.807848683,    7.116151942,    0.006727359,    0.000999546,    0.201185644,    0.004149629
         0.0000, tp,    53,    0.000069431,    0.001124800,   -0.000000135, -171.053830652,   38.254280785,    0.016912740,    0.001003514,    0.199055955,    0.009599591
         0.0000, tp,    54,   -0.000975395,    0.000504126,   -0.000000028, -110.573204674, -143.312048633,    0.016570498,    0.001008469,    0.199295923,    0.005780703
         0.0000, tp,    55,    0.000978565,    0.000439711,    0.000000007,  -42.446566946,  181.219085403,    0.015143552,    0.001013419,    0.199519664,    0.004689224
         0.0000, tp,    56,   -0.000645020,   -0.000996241,    0.000000060,  128.904289852, -105.497816260,   -0.007760610,    0.001017961,    0.198774889,    0.004169993
         0.0000, tp,    57,   -0.000856651,   -0.000229355,    0.000000068,   24.508928536, -223.328518797,    0.027319918,    0.001023895,    0.201305315,    0.007744416
         0.0000, tp,    58,    0.000837233,    0.000411630,    0.000000069, -127.869462938,  172.911947401,    0.005745333,    0.001028564,    0.200864032,    0.004817797
         0.0000, tp,    59,   -0.000748851,    0.000925320,   -0.000000022, -115.636794049, -121.342328244,    0.017525005,    0.001032561,    0.198858202,    0.005997937
         0.0000, tp,    60,    0.000583118,   -0.000684996,   -0.000000030,  145.930914630,  168.698129799,    0.030744399,    0.001038474,    0.201303884,    0.007929465
         0.0000, tp,    61,    0.000030506,    0.001234067,   -0.000000052, -161.291380758,   -8.128575137,   -0.025378467,    0.001042184,    0.198659211,    0.009517573
         0.0000, tp,    62,    0.000136789,   -0.000875491,    0.000000021,  226.750847109,    5.414100466,   -0.003667674,    0.001048300,    0.201546028,    0.001772259
         0.0000, tp,    63,    0.000938672,   -0.000271865,   -0.000000151,   94.403246718,  185.427305442,   -0.017087407,    0.001052765,    0.200650036,    0.009404965
         0.0000, tp,    64,   -0.000712380,    0.000877316,    0.000000150, -116.190128765, -137.911283634,   -0.005307125,    0.001057090,    0.199440509,    0.007624951
